Source,Target,Tipo,Descrição
Detona Ralph 2,Branca de Neve e os Sete Anões,personagem,"Princesas da Disney aparecem, incluindo Branca de Neve."
Encantada,Cinderela,objeto,O castelo de Cinderela é usado como modelo no logotipo da Disney e aparece em Encantada.
A Pequena Sereia,Cinderela,personagem,O Rei e o Grão-Duque de Cinderela aparecem no casamento de Eric e Úrsula.
A Bela Adormecida,Enrolados,objeto,A roda de fiar de Aurora pode ser vista na torre da Rapunzel.
A Princesa e o Sapo,A Bela e a Fera,objeto,O jogo de chá (Madame Samovar e Zip) aparece em uma cena de Tarzan.
Aladdin,A Pequena Sereia,personagem,O caranguejo Sebastião faz uma breve aparição.
A Princesa e o Sapo,Aladdin,objeto,O tapete mágico e a lâmpada aparecem em A Princesa e o Sapo.
Hércules,O Rei Leão,objeto,Hércules usa a pele de Scar como manto.
O Corcunda de Notre Dame,O Rei Leão,personagem,Pumba aparece como gárgula.
O Corcunda de Notre Dame,A Bela e a Fera,personagem,Bela aparece na multidão.
O Corcunda de Notre Dame,Aladdin,objeto,O tapete mágico aparece na multidão.
Tarzan,A Bela e a Fera,objeto,O jogo de chá de A Bela e a Fera aparece em uma cena.
Lilo & Stitch,Mulan,objeto,Há um pôster de Mulan no quarto de Nani.
Lilo & Stitch,Dumbo,objeto,Um boneco de Dumbo aparece na caixa de brinquedos de Lilo.
Lilo & Stitch,Mulan,local,Há um restaurante chamado 'Mulan' na cidade.
A Princesa e o Sapo,Aladdin,objeto,Tapete mágico e lâmpada aparecem em A Princesa e o Sapo.
A Princesa e o Sapo,Rapunzel,objeto,O livro de Rapunzel está no quarto de Charlotte.
Enrolados,A Bela Adormecida,objeto,A roda de fiar está na torre de Rapunzel.
Enrolados,Pinóquio,objeto,O boneco Pinóquio aparece pendurado na taverna.
Frozen,Enrolados,personagem,Rapunzel e Flynn aparecem na coroação de Elsa.
Frozen,A Pequena Sereia,teoria,O navio dos pais de Elsa e Anna pode ser o mesmo naufrágio de A Pequena Sereia.
Big Hero 6,Frozen,objeto,Estátua de Hans aparece no prédio da cidade.
Big Hero 6,Lilo & Stitch,objeto,Boneco do Stitch aparece no apartamento de Fred.
Moana,Aladdin,objeto,Tapete mágico aparece rapidamente.
Moana,Frozen,personagem,Sven aparece quando Maui se transforma.
Encanto,Frozen 2,personagem,"Bruni, a salamandra, aparece nas prateleiras de Antonio."
Wish: O Poder dos Desejos,Branca de Neve,referência,Os sete amigos de Asha remetem aos sete anões.
