Filme,Centralidade_Grau,Centralidade_Intermediacao,Centralidade_Autovalor
Branca de Neve e os Sete Anões,0.015873015873015872,0.0,0.00651975697906293
Detona Ralph 2,0.031746031746031744,0.014336917562724014,0.021216750398158454
Cinderela,0.031746031746031744,0.014336917562724014,0.16869437350012215
Encantada,0.015873015873015872,0.0,0.0518385850008177
A Pequena Sereia,0.07936507936507936,0.1080389144905274,0.4971307136432293
A Bela Adormecida,0.047619047619047616,0.0409626216077829,0.0625243038507099
Enrolados,0.047619047619047616,0.09421402969790066,0.16303807178965457
A Espada Era a Lei,0.015873015873015872,0.0,0.11394696880401772
A Princesa e o Sapo,0.06349206349206349,0.020225294418842805,0.37080897393955714
Frozen,0.07936507936507936,0.10419866871479774,0.4113368067239812
A Bela e a Fera,0.07936507936507936,0.08653353814644137,0.17901647390737135
Aladdin,0.06349206349206349,0.09626216077828981,0.3552699700453929
O Rei Leão,0.047619047619047616,0.02816180235535074,0.02358591210871713
Hércules,0.015873015873015872,0.0,0.0072477835763067894
O Corcunda de Notre Dame,0.031746031746031744,0.039938556067588324,0.0622582768527006
Tarzan,0.015873015873015872,0.0,0.05501049327639381
A Nova Onda do Imperador,0.015873015873015872,0.0,1.0544214551967145e-75
Mickey Mouse,0.015873015873015872,0.0,1.0544214551967145e-75
Lilo & Stitch,0.031746031746031744,0.0010240655401945725,4.345944445376283e-49
Mulan,0.031746031746031744,0.0010240655401945725,4.345944445376283e-49
Dumbo,0.015873015873015872,0.0,2.6859413804613536e-49
Rapunzel,0.031746031746031744,0.0056323604710701485,0.24034785329653213
Pinóquio,0.031746031746031744,0.039938556067588324,0.056701314630199645
Big Hero 6,0.015873015873015872,0.0,0.1264008844925144
Zootopia,0.015873015873015872,0.0,0.03249900508675531
Operação Big Hero,0.031746031746031744,0.014336917562724014,0.10575904613139016
Moana,0.047619047619047616,0.027649769585253454,0.31166463342351564
Detona Ralph,0.015873015873015872,0.0,1.0544214551967145e-75
Princesas Disney,0.015873015873015872,0.0,1.0544214551967145e-75
Encanto,0.015873015873015872,0.0,1.0544214551967145e-75
Frozen 2,0.015873015873015872,0.0,1.0544214551967145e-75
Wish: O Poder dos Desejos,0.047619047619047616,0.02816180235535074,0.021480713744787737
Branca de Neve,0.015873015873015872,0.0,0.0066008710440873496
Fantasia,0.015873015873015872,0.0,0.0066008710440873496
Toy Story,0.12698412698412698,0.030209933435739886,0.00039789591876272296
Procurando Nemo,0.031746031746031744,0.0,0.00019535472169521687
Monstros S.A.,0.047619047619047616,0.0056323604710701485,0.000211823291863443
Vida de Inseto,0.015873015873015872,0.0,0.00012748630044594919
Os Incríveis,0.031746031746031744,0.0056323604710701485,0.00014207085097504347
Carros,0.015873015873015872,0.0,0.00012748630044594919
Ratatouille,0.031746031746031744,0.0,8.612278418155444e-05
Up,0.047619047619047616,0.010240655401945725,0.00018267397451685952
WALL·E,0.015873015873015872,0.0,0.00012748630044594919
Valente,0.015873015873015872,0.0,6.786842124926771e-05
Divertida Mente,0.031746031746031744,0.0,8.612278418155444e-05
Procurando Dory,0.015873015873015872,0.0,0.00012748630044594919
Viva: A Vida é uma Festa,0.015873015873015872,0.0,4.551966063973839e-05
Dois Irmãos,0.015873015873015872,0.0,3.495902077603279e-41
Soul,0.031746031746031744,0.002560163850486431,6.459584754322706e-41
Luca,0.031746031746031744,0.00409626216077829,8.439854208478115e-41
Red: Crescer é uma Fera,0.031746031746031744,0.004608294930875576,9.135232366861648e-41
Lightyear,0.031746031746031744,0.00409626216077829,8.439854208478116e-41
Elementos,0.031746031746031744,0.002560163850486431,6.459584754322706e-41
Elio,0.015873015873015872,0.0,3.495902077603279e-41
Malévola,0.015873015873015872,0.0,0.019213275300966882
Cinderela (Live Action),0.015873015873015872,0.0,0.05501049327639381
A Bela e a Fera (Live Action),0.015873015873015872,0.0,0.05501049327639381
Aladdin (Live Action),0.015873015873015872,0.0,0.10917194307267589
O Rei Leão (Live Action),0.015873015873015872,0.0,0.0072477835763067894
Mulan (Live Action),0.015873015873015872,0.0,2.6859413804613536e-49
Cruella,0.015873015873015872,0.0,1.0544214551967145e-75
101 Dálmatas,0.015873015873015872,0.0,1.0544214551967145e-75
Peter Pan & Wendy,0.015873015873015872,0.0,1.0544214551967145e-75
Winnie the Pooh,0.015873015873015872,0.0,1.0544214551967145e-75
