Filme,Categoria,Ano
Branca de Neve e os Sete Anões,Clássico,1937
Cinderela,Clássico,1950
A Bela Adormecida,Clássico,1959
A Espada Era a Lei,Clássico,1963
A Pequena Sereia,Clássico,1989
A Bela e a Fera,Clássico,1991
Aladdin,Clássico,1992
O Rei Leão,Clássico,1994
O Corcunda de Notre Dame,Clássico,1996
Hércules,Clássico,1997
Tarzan,Clássico,1999
A Nova Onda do Imperador,Clássico,2000
Lilo & Stitch,Clássico,2002
A Princesa e o Sapo,Clássico,2009
Enrolados,Clássico,2010
Frozen,Clássico,2013
Big Hero 6,Clássico,2014
Zootopia,Clássico,2016
Moana,Clássico,2016
Detona Ralph,Clássico,2012
WiFi Ralph,Clássico,2018
Encanto,Clássico,2021
Wish: O Poder dos Desejos,Clássico,2023
Toy Story,Pixar,1995
Vida de Inseto,Pixar,1998
Monstros S.A.,Pixar,2001
Procurando Nemo,Pixar,2003
Os Incríveis,Pixar,2004
Carros,Pixar,2006
Ratatouille,Pixar,2007
WALL·E,Pixar,2008
Up,Pixar,2009
Valente,Pixar,2012
Divertida Mente,Pixar,2015
Procurando Dory,Pixar,2016
Viva: A Vida é uma Festa,Pixar,2017
Dois Irmãos,Pixar,2020
Soul,Pixar,2020
Luca,Pixar,2021
Red: Crescer é uma Fera,Pixar,2022
Lightyear,Pixar,2022
Elementos,Pixar,2023
Elio,Pixar,2025
Encantada,Live Action,2007
Malévola,Live Action,2014
Cinderela (Live Action),Live Action,2015
A Bela e a Fera (Live Action),Live Action,2017
Aladdin (Live Action),Live Action,2019
O Rei Leão (Live Action),Live Action,2019
Mulan (Live Action),Live Action,2020
Cruella,Live Action,2021
Peter Pan & Wendy,Live Action,2023
Mickey Mouse,Referência,1928
Princesas Disney,Referência,2000
Frozen 2,Clássico,2019
Fantasia,Clássico,1940
Pinóquio,Clássico,1940
101 Dálmatas,Clássico,1961
Operação Big Hero,Pixar,2014
Winnie the Pooh,Clássico,1966
